lc	retry	1	29.2	PASS	4 7461 272
pi	retry	1	24.3	PASS	4 1939 424
piverb	retry	1	30.6	PASS	4 2978 511
pimap	retry	1	59.1	PASS	6 3294 1039
lc	retry	2	23.3	PASS	4 1579 284
pi	retry	2	64.1	PASS	5 832 757
piverb	retry	2	83.3	PASS	4 747 834
pimap	retry	2	79.2	PASS	5 703 879
lc	retry	3	30.8	PASS	4 1541 270
pi	retry	3	174.1	PASS	7 1231 2106
piverb	retry	3	89.7	PASS	6 858 1114
pimap	retry	3	78.0	PASS	4 886 998
lc	parser	1	36.4	PASS	4 1799 364
pi	parser	1	65.6	PASS	4 980 838
piverb	parser	1	37.5	PASS	4 840 463
pimap	parser	1	36.7	PASS	4 840 452
lc	parser	2	32.6	PASS	4 1781 321
pi	parser	2	36.1	PASS	4 841 450
piverb	parser	2	68.5	PASS	6 1220 862
pimap	parser	2	46.5	PASS	4 840 590
lc	parser	3	34.2	PASS	4 1799 356
pi	parser	3	81.5	PASS	5 1121 1110
piverb	parser	3	47.9	PASS	4 840 653
pimap	parser	3	53.9	PASS	4 983 745
