lc	1	1986.6	FAIL	50 46904 21619	0
pi	1	1228.7	PASS	33 7859 14840	11
pisame	1	1623.4	PASS	26 9752 19629	5
lc	2	2169.4	FAIL	29 42904 23494	4
pi	2	1281.5	PASS	22 5288 14291	13
pisame	2	2379.8	PASS	35 9049 20235	12
